,id_componente,codigo,nome,departamento
18437,52589,IMD0973,PUBLICAÇÃO EM CONGRESSO OU REVISTA CIENTÍFICA LOCAL II,INSTITUTO METROPOLE DIGITAL
18438,52590,IMD0974,PUBLICAÇÃO EM CONGRESSO OU REVISTA CIENTÍFICA LOCAL III,INSTITUTO METROPOLE DIGITAL
18439,52591,IMD0975,PUBLICAÇÃO EM CONGRESSO OU REVISTA CIENTÍFICA NACIONAL I,INSTITUTO METROPOLE DIGITAL
18440,52592,IMD0976,PUBLICAÇÃO EM CONGRESSO OU REVISTA CIENTÍFICA NACIONAL II,INSTITUTO METROPOLE DIGITAL
18441,52593,IMD0977,PUBLICAÇÃO EM CONGRESSO OU REVISTA CIENTÍFICA INTERNACIONAL,INSTITUTO METROPOLE DIGITAL
18442,52594,IMD0978,BOLSA DE EXTENSÃO I,INSTITUTO METROPOLE DIGITAL
18443,52595,IMD0979,BOLSA DE EXTENSÃO II,INSTITUTO METROPOLE DIGITAL
18444,52596,IMD0980,PARTICIPAÇÃO EM PROJETO DE EXTENSÃO I,INSTITUTO METROPOLE DIGITAL
18445,52597,IMD0981,PARTICIPAÇÃO EM PROJETO DE EXTENSÃO II,INSTITUTO METROPOLE DIGITAL
18446,52598,IMD0982,PARTICIPAÇÃO EM PROJETO DE EXTENSÃO III,INSTITUTO METROPOLE DIGITAL
18447,52599,IMD0983,CURSO EM TI OU EMPREENDEDORISMO I,INSTITUTO METROPOLE DIGITAL
18448,52600,IMD0984,CURSO EM TI OU EMPREENDEDORISMO II,INSTITUTO METROPOLE DIGITAL
18449,52601,IMD0985,CURSO EM TI OU EMPREENDEDORISMO III,INSTITUTO METROPOLE DIGITAL
18450,52602,IMD0986,CURSO EM TI OU EMPREENDEDORISMO IV,INSTITUTO METROPOLE DIGITAL
18451,52603,IMD0987,CURSO EM TI OU EMPREENDEDORISMO V,INSTITUTO METROPOLE DIGITAL
18452,52604,IMD0988,CURSO EM TI OU EMPREENDEDORISMO VI,INSTITUTO METROPOLE DIGITAL
18453,52605,IMD0989,PROJETO EM TI I,INSTITUTO METROPOLE DIGITAL
18454,52606,IMD0990,PROJETO EM TI II,INSTITUTO METROPOLE DIGITAL
18455,52607,IMD0991,PARTICIPAÇÃO EM EMPRESA INCUBADA OU JÚNIOR I,INSTITUTO METROPOLE DIGITAL
18456,52608,IMD0992,PARTICIPAÇÃO EM EMPRESA INCUBADA OU JÚNIOR II,INSTITUTO METROPOLE DIGITAL
18457,52609,IMD0993,PARTICIPAÇÃO EM EMPRESA INCUBADA OU JÚNIOR III,INSTITUTO METROPOLE DIGITAL
18458,52610,IMD0994,PARTICIPAÇÃO EM EMPRESA INCUBADA OU JÚNIOR IV,INSTITUTO METROPOLE DIGITAL
18459,52611,IMD0995,CURSO EM TI OU EMPREENDEDORISMO VII,INSTITUTO METROPOLE DIGITAL
18460,52612,IMD0996,ESTÁGIO DE INTEGRAÇÃO VI,INSTITUTO METROPOLE DIGITAL
18498,52650,IMD0012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,INSTITUTO METROPOLE DIGITAL
18499,52651,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,INSTITUTO METROPOLE DIGITAL
18500,52652,IMD0012.1,PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,INSTITUTO METROPOLE DIGITAL
18501,52653,IMD0013,ELEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
18502,52654,IMD0013.0,ELEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
18503,52655,IMD0013.1,PRÁTICAS DE ELEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
18504,52656,IMD0014,INTRODUÇÃO AO CÁLCULO,INSTITUTO METROPOLE DIGITAL
18505,52657,IMD0016,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,INSTITUTO METROPOLE DIGITAL
18506,52658,IMD0021,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,INSTITUTO METROPOLE DIGITAL
18507,52659,IMD0023,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
18508,52660,IMD0023.0,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
