,id_componente,codigo,nome,unidade_responsavel,id_curriculo,tipo_vinculo_componente
56,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,101658777,OPTATIVO
57,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,101669220,OPTATIVO
58,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,101659860,OPTATIVO
59,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,101669382,OPTATIVO
60,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,105755388,OPTATIVO
61,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,101658777,OPTATIVO
62,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,101669382,OPTATIVO
63,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,101659860,OPTATIVO
64,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,102200805,OBRIGATÓRIO
65,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,105755388,OPTATIVO
66,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,101668583,OPTATIVO
67,23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,DEPARTAMENTO DE ESTATISTICA,101669220,OPTATIVO
68,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,101659860,OPTATIVO
69,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,101668583,OPTATIVO
70,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,101669220,OPTATIVO
71,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,101658777,OPTATIVO
72,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,102200805,OPTATIVO
73,23557,MAT0314,MATEMATICA PARA ENGENHARIA III,DEPARTAMENTO DE MATEMÁTICA,105755388,OPTATIVO
74,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
75,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
76,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
77,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
78,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
79,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
80,23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OBRIGATÓRIO
81,24772,CIV0348,LEGISLACAO E SEGURANCA DO TRABALHO,DEPARTAMENTO DE ENGENHARIA CIVIL,115764587,OPTATIVO
82,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101658777,OPTATIVO
83,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,105755388,OPTATIVO
84,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,102200805,OPTATIVO
85,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101669220,OPTATIVO
86,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101669382,OPTATIVO
87,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101659860,OPTATIVO
88,25561,FIS0311,MECANICA CLASSICA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101668583,OPTATIVO
89,25764,DIM0345,EMPREENDEDORISMO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
90,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,101659860,OPTATIVO
91,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,102200805,OPTATIVO
92,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,101669220,OPTATIVO
93,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,101668583,OPTATIVO
94,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,101669382,OPTATIVO
95,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,101658777,OPTATIVO
96,26528,DAN0012,CULTURA E MEIO AMBIENTE,DEPARTAMENTO DE ANTROPOLOGIA,105755388,OPTATIVO
97,26605,DCA0301,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
98,26908,DIM0036,TOPICOS ESPECIAIS EM COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
99,26908,DIM0036,TOPICOS ESPECIAIS EM COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
100,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
101,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
102,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
103,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
104,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
105,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
106,26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
107,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
108,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
109,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
110,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
111,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
112,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
113,26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
114,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
115,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
